"question","ground_truth","generated_answer","retrieved_chunks"
"What is the Berlin Wall a powerful symbol of?","a powerful symbol of the Cold War.","The Berlin Wall is a powerful symbol of the Cold War. Parts of the wall still stand today, with the east side gallery displaying murals by artists from around the world.","[{""text"":""[00:20:18] ] Berlin Berlin Berlin has a rich and complex history, having been at the center of significant events such as World War 2 and the Cold War. One of the city's most iconic landmarks is the Brondenburg Gate, a neoclassical monument that has witnessed numerous historical events and stands as a symbol of peace and unity. Another significant site is the Berlin Wall, a powerful symbol\n["",""score"":0.7712514604666557},{""text"":""[Page 31] lin_wall). BBC. Archived (https:\/\/w\neb.archive.org\/web\/20170226011158\/http:\/\/www.bbc.co.uk\/history\/places\/berlin_wall) from\nthe original on 26 February 2017. Retrieved 8 February 2017.\n103. Williams, Geoffrey (1986). The European Defence Initiative: Europe's Bid for Equality.\nSpringer. pp.\u00a0122\u2013123. ISBN\u00a0978-1-349-07825-7.\n104. Deshmukh, Marion. \""Iconoclash! Political Imagery from the Berlin Wall to German\nUnification\"" (https:\/\/www.wendemuseum.org\/sites\/default\/files\/10-9-09Iconoclash%20update\nd%20brochure_small.pdf) (PDF). Wende Museum. Archived (https:\/\/web.archive.org\/web\/20\n210620152657\/https:\/\/www.wendemuseum.org\/sites\/default\/files\/10-9-09Iconoclash%20upd\nated%20brochure_small.pdf) (PDF) from the original on 20 June 2021. Retrieved 20 March\n2020.\n105. \""What the Berlin Wall still stands for\"" (http:\/\/www.cnn.com\/SPECIALS\/views\/y\/1999\/11\/burn\ns.wall.nov8). CNN Interactive. 8 November 1999. Archived (https:\/\/web.archive.org\/web\/200\n80206104205\/http:\/\/www.cnn.com\/SPECIALS\/views\/y\/1999\/11\/burns.wall.nov8\/) from the\noriginal on 6 February 2008.\n106. \""Vertrag zwischen der Bundesrepublik Deutschland und der Deutschen Demokratischen"",""score"":0.6973790414378489},{""text"":""[00:20:49] ] of the Cold War. Parts of the wall still stand today, with the east side gallery displaying murals by artists from around the world. The Reichstag building, home to the German Parliament, features a stunning glass dome that offers panoramic views of the city. For museum lovers, Museum Island, a UNESCO World Heritage Site, houses five world-renowned museums,\n["",""score"":0.6354860680865237}]"
"What historic site in Berlin houses five world-renowned museums?","Museum Island, a UNESCO World Heritage site,","Berlin, the capital city, has more museums than rainy days per year, with over 170 museums to explore. One of the sweetest facts is that the famous gummy bear candy was invented in Germany by Hans-Riegel Sr. in 1920. The brand name Herabo is derived from his name and the city of Bonn. The best places in Germany.","[{""text"":""[00:20:18] ] Berlin Berlin Berlin has a rich and complex history, having been at the center of significant events such as World War 2 and the Cold War. One of the city's most iconic landmarks is the Brondenburg Gate, a neoclassical monument that has witnessed numerous historical events and stands as a symbol of peace and unity. Another significant site is the Berlin Wall, a powerful symbol\n["",""score"":0.745915480274559},{""text"":""[00:21:22] ] including the Pergamon Museum and the Altus Museum. Alexanderplatz is a bustling square known for its iconic TV tower, Fernsittorm, which offers a revolving restaurant with spectacular city views. The Berlin Cathedral, located on Museum Island, is a stunning Baroque Cathedral, known for its impressive architecture and beautiful interior.\n["",""score"":0.7377599697376952},{""text"":""[00:01:41] ] Berlin, the capital city, has more museums than rainy days per year, with over 170 museums to explore. One of the sweetest facts is that the famous gummy bear candy was invented in Germany by Hans-Riegel Sr. in 1920. The brand name Herabo is derived from his name and the city of Bonn. The best places in Germany.\n["",""score"":0.7359648273866631}]"
"What is Cologne's most famous landmark?","the Cologne Cathedral, a Gothic masterpiece.","The most famous landmark in Cologne is the Cologne Cathedral, which is known as the Cologne Cathedral. It is a magnificent modern skyline that has earned it the nickname Main Hatten.","[{""text"":""[00:28:29] ] Frankfurt. Known as the Financial Capital of Germany, Frankfurt is home to the European Central Bank, Deutsche Bank, and the Frankfurt Stock Exchange. Its impressive modern skyline has earned it the nickname Main Hatten. In the heart of the Old Town, you'll find the Roma, a medieval building that has served as\n["",""score"":0.6850441753938618},{""text"":""[00:08:39] ] It's a true visual feast for travelers. The Rhein Valley is home to over 40 castles and fortresses, many of which date back to the medieval period. This area was designated a UNESCO World Heritage Site in 2002, for its cultural and historical significance. One of the most iconic landmarks here is the Lora Lairaq, shrouded in myths and legends about a beautiful siren, who lured sailors to their doom.\n["",""score"":0.6818040345387941},{""text"":""[00:20:18] ] Berlin Berlin Berlin has a rich and complex history, having been at the center of significant events such as World War 2 and the Cold War. One of the city's most iconic landmarks is the Brondenburg Gate, a neoclassical monument that has witnessed numerous historical events and stands as a symbol of peace and unity. Another significant site is the Berlin Wall, a powerful symbol\n["",""score"":0.6716454294369384}]"
"What is Frankfurt known as?","the financial capital of Germany.","Frankfurt is known as the Financial Capital of Germany.","[{""text"":""[00:28:29] ] Frankfurt. Known as the Financial Capital of Germany, Frankfurt is home to the European Central Bank, Deutsche Bank, and the Frankfurt Stock Exchange. Its impressive modern skyline has earned it the nickname Main Hatten. In the heart of the Old Town, you'll find the Roma, a medieval building that has served as\n["",""score"":0.8109037222008537},{""text"":""[00:29:33] ] Frankfurt is also known for its traditional cuisine, including Frankfurter Sausages, Apple Wine, Apple Vine, and Green Saus, Grunasosa. These local dishes are a must try for any visitor. Thank you for joining us on this incredible journey through Germany.\n["",""score"":0.7527492557257717},{""text"":""[00:29:02] ] the city hall for over 600 years. Nearby stands the Frankfurt Cathedral, a stunning Gothic style cathedral where emperors of the Holy Roman Empire were crowned. Visit the Gerta House, the birthplace of the famous writer Johann Wolfgang von Gerta, now a museum dedicated to his life and works. Head up to the main tower, a skyscraper with an observation deck that provides stunning panoramic views of the city.\n["",""score"":0.682818629484273}]"
"What event in 9 AD dissuaded the Romans from conquering Germania?","In 9 AD, three Roman legions were defeated by Arminius in the Battle of the Teutoburg Forest.","In 9 AD, three Roman legions were defeated by Arminius in the Battle of the Teutoburg Forest, which dissuaded the Romans from their ambition of conquering Germania.","[{""text"":""[Page 3] ry.[28] By 100\u00a0AD,\nwhen Tacitus wrote Germania, Germanic tribes had settled along the Rhine and the Danube (the Limes\nGermanicus), occupying most of modern Germany.[29] However, Baden-W\u00fcrttemberg, southern Bavaria,\nsouthern Hesse and the western Rhineland had been incorporated into Roman provinces.[30][31][32]\nAround 260, Germanic peoples broke into Roman-controlled lands.[33] After the invasion of the Huns in\n375, and with the decline of Rome from 395, Germanic tribes moved farther southwest: the Franks\nestablished the Frankish Kingdom and pushed east to subjugate Saxony and Bavaria. Areas of modern\neastern Germany were inhabited by Western Slavic tribes.[30]\nCharlemagne founded the Carolingian Empire in 800; it was\ndivided in 843.[34] The eastern successor kingdom of East\nFrancia stretched from the Rhine in the west to the Elbe river\nin the east and from the North Sea to the Alps.[34]\nSubsequently, the Holy Roman Empire emerged from it. The\nOttonian rulers (919\u20131024) consolidated several major\nduchies.[35] In 996, Gregory V became the first German Pope,\nappointed by his cousin Otto III, whom he shortly after\ncrowned Holy Roman Emperor."",""score"":0.7022639348760837},{""text"":""[Page 3] Basilica of Constantine in Trier (Augusta\nTreverorum), built in the 4th century\nEast Francia in 843\nThe Germanic peoples are thought to have emerged from the\nJastorf culture during the Nordic Bronze Age or early Iron\nAge.[21][22] From southern Scandinavia and northern\nGermany, they expanded south, east, and west, coming into\ncontact with the Celtic, Iranian, Baltic, and Slavic\ntribes.[23][24] Southern Germany was inhabited by Celtic-\nspeaking peoples, who belonged to the wider La T\u00e8ne culture.\nThey were later assimilated by the Germanic conquerors.[25]\nUnder Augustus, the Roman Empire began to invade lands\ninhabited by the Germanic tribes, creating a short-lived\nRoman province of Germania between the Rhine and Elbe\nrivers. In 9\u00a0 AD, three Roman legions were defeated by Arminius in the Battle of the Teutoburg\nForest.[26][27] The outcome of this battle dissuaded the Romans from their ambition of conquering\nGermania and is thus considered one of the most important events in European history.[28] By 100\u00a0AD,\nwhen Tacitus wrote Germania, Germanic tribes had settled along the Rhine and the Danube (the Limes\nGermanicus), occupying most of modern Germany."",""score"":0.6945365913768555},{""text"":""[Page 1] olithic onward, chiefly the Celts, with\nGermanic tribes inhabiting the north. Romans named\nthe area Germania. In 962, the Kingdom of Germany\nformed the bulk of the Holy Roman Empire. During\nthe 16th century, northern German regions became the\ncentre of the Protestant Reformation. Following the\nNapoleonic Wars and the dissolution of the Holy\nRoman Empire in 1806, the German Confederation\nwas formed in 1815.\nUnification of Germany into the modern nation-state,\nled by Prussia, established the German Empire in\n1871. After World War I and a revolution, the Empire\nwas replaced by the Weimar Republic. The Nazi rise to\npower in 1933 led to the establishment of a totalitarian\ndictatorship, World War II, and the Holocaust. In 1949,\nafter the war and Allied occupation, Germany was\norganised into two separate polities with limited\nsovereignty: the Federal Republic of Germany (FRG),\nor West Germany, and the German Democratic\nRepublic (GDR), or East Germany. The FRG was a\nfounding \nmember \nof \nthe \nEuropean \nEconomic\nCommunity in 1951, while the GDR was a communist\nEastern Bloc state and member of the Warsaw Pact.\n0:00\n0:00 \/ 0:00\n\/ 0:00"",""score"":0.6751733936331257}]"
"What key economic factor furthered unity among the 39 sovereign states of the German Confederation?","The Zollverein, a tariff union, furthered economic unity.","The text states that “Cultural ties and economic interests have crafted a bond between the two countries resulting in Atlanticism.” This indicates that economic interests played a significant role in fostering unity among the 39 sovereign states of the German Confederation.","[{""text"":""[Page 4] Congress of Vienna\nfounded the German Confederation, a loose league of 39\nsovereign states. The appointment of the emperor of Austria\nas the permanent president reflected the Congress's rejection\nof Prussia's rising influence. Disagreement within restoration\npolitics partly led to the rise of liberal movements, followed\nby new measures of repression by Austrian statesman\nKlemens von Metternich.[51][52] The Zollverein, a tariff\nunion, furthered economic unity.[53] In light of revolutionary\nmovements in Europe, intellectuals and commoners started\nthe revolutions of 1848 in the German states, raising the\nGerman question. King Frederick William IV of Prussia was\noffered the title of emperor, but with a loss of power; he\nrejected the crown and the proposed constitution, a temporary\nsetback for the movement.[54]\nGerman Confederation and Empire"",""score"":0.7145393556993037},{""text"":""[Page 13] Because of its economic power and political influence,\nGermany is widely considered to be a great power.[160][161]\nThe governments of Germany and the United States are close political allies.[162] Cultural ties and\neconomic interests have crafted a bond between the two countries resulting in Atlanticism.[163]\nAfter 1990, Germany and Russia worked together to establish a \""strategic partnership\"" in which energy\ndevelopment became one of the most important factors.[164] As a result of the cooperation, Germany\nimported most of its natural gas and crude oil from Russia.[165]\nGermany's development policy functions as a distinct sector within its foreign policy framework. It is\nformulated by the Federal Ministry for Economic Cooperation and Development and carried out by the\nimplementing organisations. The German government sees development policy as a joint responsibility of\nthe international community.[166] It was the world's second-biggest aid donor in 2019 after the United\nStates.[167]\nGermany's military, the Bundeswehr (Federal Defence), is\norganised into the Heer (Army and special forces KSK),\nMarine (Navy), Luftwaffe (Air Force) and Cyber- und"",""score"":0.6981160217168347},{""text"":""[Page 1] olithic onward, chiefly the Celts, with\nGermanic tribes inhabiting the north. Romans named\nthe area Germania. In 962, the Kingdom of Germany\nformed the bulk of the Holy Roman Empire. During\nthe 16th century, northern German regions became the\ncentre of the Protestant Reformation. Following the\nNapoleonic Wars and the dissolution of the Holy\nRoman Empire in 1806, the German Confederation\nwas formed in 1815.\nUnification of Germany into the modern nation-state,\nled by Prussia, established the German Empire in\n1871. After World War I and a revolution, the Empire\nwas replaced by the Weimar Republic. The Nazi rise to\npower in 1933 led to the establishment of a totalitarian\ndictatorship, World War II, and the Holocaust. In 1949,\nafter the war and Allied occupation, Germany was\norganised into two separate polities with limited\nsovereignty: the Federal Republic of Germany (FRG),\nor West Germany, and the German Democratic\nRepublic (GDR), or East Germany. The FRG was a\nfounding \nmember \nof \nthe \nEuropean \nEconomic\nCommunity in 1951, while the GDR was a communist\nEastern Bloc state and member of the Warsaw Pact.\n0:00\n0:00 \/ 0:00\n\/ 0:00"",""score"":0.6977997913174244}]"
"When did German reunification occur, and what led up to it?","This permitted German reunification on 3 October 1990, with the accession of the five re-established states of the former GDR.","German reunification occurred on 3 October 1990, following the fall of the Berlin Wall and the dissolution of the Soviet Union. The events leading up to this were a culmination of several factors, including the easing of border restrictions, the desire to retain East Germany as a state, the acceleration of the Wende reform process, culminating in the Two Plus Four Treaty, which permitted German reunification, and the establishment of the Federal Republic of Germany (FRG) under Prussian leadership.","[{""text"":""[Page 7] nd open its border with Austria,\ncausing the emigration of thousands of East Germans to West Germany via Hungary and Austria. This\nhad devastating effects on the GDR, where regular mass demonstrations received increasing support. In\nan effort to help retain East Germany as a state, the East German authorities eased border restrictions, but\nthis actually led to an acceleration of the Wende reform process, culminating in the Two Plus Four Treaty\nunder which Germany regained full sovereignty. This permitted German reunification on 3 October 1990,\nwith the accession of the five re-established states of the former GDR.[104] The fall of the Berlin Wall in\n1989 became a symbol of the Fall of Communism, the dissolution of the Soviet Union, German\nreunification and Die Wende (\""the turning point\"").[105]\nUnited Germany was considered the enlarged continuation of West Germany, so it retained its\nmemberships in international organisations.[106] Based on the Berlin\/Bonn Act (1994), Berlin again\nbecame the capital of Germany, while Bonn obtained the unique status of a Bundesstadt (federal city),\nretaining some federal ministries."",""score"":0.7011676589252789},{""text"":""[Page 1] olithic onward, chiefly the Celts, with\nGermanic tribes inhabiting the north. Romans named\nthe area Germania. In 962, the Kingdom of Germany\nformed the bulk of the Holy Roman Empire. During\nthe 16th century, northern German regions became the\ncentre of the Protestant Reformation. Following the\nNapoleonic Wars and the dissolution of the Holy\nRoman Empire in 1806, the German Confederation\nwas formed in 1815.\nUnification of Germany into the modern nation-state,\nled by Prussia, established the German Empire in\n1871. After World War I and a revolution, the Empire\nwas replaced by the Weimar Republic. The Nazi rise to\npower in 1933 led to the establishment of a totalitarian\ndictatorship, World War II, and the Holocaust. In 1949,\nafter the war and Allied occupation, Germany was\norganised into two separate polities with limited\nsovereignty: the Federal Republic of Germany (FRG),\nor West Germany, and the German Democratic\nRepublic (GDR), or East Germany. The FRG was a\nfounding \nmember \nof \nthe \nEuropean \nEconomic\nCommunity in 1951, while the GDR was a communist\nEastern Bloc state and member of the Warsaw Pact.\n0:00\n0:00 \/ 0:00\n\/ 0:00"",""score"":0.6950311339242746},{""text"":""[Page 6] million ethnic Germans were expelled from across Eastern Europe, and Germany lost roughly\none-quarter of its pre-war territory.[93]\nAfter the surrender of Nazi Germany, the Allies de jure abolished the German state and partitioned Berlin\nand Germany's remaining territory into four occupation zones. The western sectors, controlled by France,\nthe United Kingdom, and the United States, were merged on 23 May 1949 to form the Federal Republic\nEast and West Germany"",""score"":0.6887689746580207}]"
"What are Germany's main exports?","vehicles, machinery, and chemical goods.","Germany’s main exports include goods, as of 2024, including:

*   Goods
*   Services
*   Manufacturing
*   Agriculture
*   The country’s largest trading partners in 2024 were the United States, China, and a large portion of the eurozone economy.","[{""text"":""[Page 2] Europe by\nnominal GDP. As a major force in several industrial,\nscientific and technological sectors, Germany is both\nthe world's third-largest exporter and third-largest\nimporter. Widely considered a great power, Germany is\npart of multiple international organisations and forums.\nIt has the third-highest number of UNESCO World\nHeritage Sites: 55, of which 52 are cultural.\nThe English word Germany derives from the Latin\nGermania, which came into use after Julius Caesar\nadopted it for the peoples east of the Rhine.[13] The\nGerman term Deutschland, originally diutisciu land\n('the German lands'), is derived from deutsch (cf.\nDutch), which descended from Old High German\ndiutisc 'of the people' (from diot or diota 'people'),\noriginally used to distinguish the language of the\ncommon people from Latin and its Romance\ndescendants. This in turn descends from Proto-\nGermanic *\u00feiudiskaz 'of the people' (see also the\nLatinised form Theodiscus), derived from *\u00feeud\u014d,\ndescended \nfrom \nProto-Indo-European \n*tewt\u00e9h\u2082-\n'people', \nfrom \nwhich \nthe \nword \nTeutons \nalso\noriginates.[14]\nAncient humans were present in Germany at least 600,000 years ago."",""score"":0.7063136035400152},{""text"":""[Page 39] y-policy\/monetary-policy-625914) from the original on 20\nJune 2021. Retrieved 30 March 2020.\n193. \""Germany\"" (https:\/\/www.cia.gov\/the-world-factbook\/countries\/germany\/). World Factbook.\nCIA. Archived (https:\/\/web.archive.org\/web\/20210109075739\/https:\/\/www.cia.gov\/the-world-f\nactbook\/countries\/germany) from the original on 9 January 2021. Retrieved 29 March 2020.\n194. \""The United States is Germany's main trading partner\"" (https:\/\/www.destatis.de\/EN\/Themes\/\nEconomy\/Foreign-Trade\/trading-partners.html). Federal Statistical Office of Germany.\nRetrieved 8 March 2025.\n195. \""Foreign trade\"" (http:\/\/www.destatis.de\/EN\/FactsFigures\/NationalEconomyEnvironment\/Fore\nignTrade\/_Graphic\/TradingGoods.png?__blob=poster). Statistiches Bundesamt. Archived (h\nttps:\/\/web.archive.org\/web\/20150502033130\/https:\/\/www.destatis.de\/EN\/FactsFigures\/Natio\nnalEconomyEnvironment\/ForeignTrade\/_Graphic\/TradingGoods.png?__blob=poster) from\nthe original on 2 May 2015. Retrieved 23 April 2015.\n196. Randall, Chris (10 December 2019). \""CAM study reveals: German carmakers are most\ninnovative\"" (https:\/\/www.electrive.com\/2019\/12\/10\/cam-study-reveals-german-manufacturer\ns-as-innovative\/). Electrive. Archived (https:\/\/web."",""score"":0.6670181982021984},{""text"":""[Page 14] est by PPP-adjusted GDP.[186] Its\nPPP-adjusted GDP per capita amounted to 115% of the EU\naverage in 2024.[187] The country's service sector contributes\napproximately 72% of the total GDP, industry 27%\u2014with\nGermany having the largest manufacturing sector in Europe\n\u2014and agriculture 1%, as of 2023.[117] The unemployment\nrate published by Eurostat amounts to 3.2% as of\nJanuary\u00a02020, which is the fourth-lowest in the EU.[188]\nGermany is part of the European single market which represents more than 450 million consumers.[189]\nIn 2017, the country accounted for 28% of the eurozone economy according to the International\nMonetary Fund.[190] Germany introduced the common European currency, the euro, in 2002.[191] Its\nmonetary policy is set by the European Central Bank,[192] which is based in Frankfurt.[182] Germany is\nthe world's third-largest exporter and third-largest importer,[193] and it has the second-largest trade\nsurplus after China. Its largest trading partners in 2024 were the United States, China, and the\nNetherlands.[194] Germany's main exports are vehicles, machinery, and chemical goods.[195]\nEconomy"",""score"":0.6564993475464973}]"
"What is the largest single-sport organization worldwide?","the German Football Association (Deutscher Fußball-Bund) is the largest single-sport organisation worldwide,","The German men's national football team has won the FIFA World Cup in 1954, 1974, 1990, and 2014, the UEFA European Championship in 1972, 1980, and 1996, and the FIFA Confederations Cup in 2017. Germany is one of the leading motor sports countries in the world, with prominent manufacturers like BMW and Mercedes, and Porsche having won the 24 Hours of Le Mans race 19 times.","[{""text"":""[Page 23] dance of all professional sports leagues in the world.[314]\nThe German men's national football team won the FIFA\nWorld Cup in 1954, 1974, 1990, and 2014,[315] the UEFA\nEuropean Championship in 1972, 1980 and 1996,[316] and the\nFIFA Confederations Cup in 2017.[317]\nGermany is one of the leading motor sports countries in the\nworld. Constructors like BMW and Mercedes are prominent\nmanufacturers in motor sport. Porsche has won the 24 Hours\nof Le Mans race 19 times, and Audi 13 times (as of\nApril\u00a0 2024).[318] The driver Michael Schumacher has set\nmany motor sport records during his career, having won seven Formula One World Drivers'\nChampionships.[319] Sebastian Vettel is also among the most successful Formula One drivers of all\ntime.[320]\nGerman athletes historically have been successful contenders in the Olympic Games, ranking third in an\nall-time Olympic Games medal count when combining East and West German medals prior to German\nreunification.[321] In 1936, Berlin hosted the Summer Games and the Winter Games in Garmisch-\nPartenkirchen.[322] Munich hosted the Summer Games of 1972.[323]\nGermany portal\nEuropean Union\nportal\nOutline of Germany\nSports\nSee also"",""score"":0.6312338354510789},{""text"":""[Page 49] Fritz Keller promises 'no\nmore one-man show' \"" (https:\/\/www.dw.com\/en\/dfb-presidential-candidate-fritz-keller-promis\nes-no-more-one-man-show\/a-50119403). DW. Archived (https:\/\/web.archive.org\/web\/20200\n329034515\/https:\/\/www.dw.com\/en\/dfb-presidential-candidate-fritz-keller-promises-no-more-\none-man-show\/a-50119403) from the original on 29 March 2020.\n314. Gaines, Cork (22 May 2015). \""The NFL and Major League Baseball are the most attended\nsports leagues in the world\"" (https:\/\/www.businessinsider.com\/attendance-sports-leagues-w\norld-2015-5). Business Insider. Archived (https:\/\/web.archive.org\/web\/20190831191916\/http\ns:\/\/www.businessinsider.com\/attendance-sports-leagues-world-2015-5) from the original on\n31 August 2019.\n315. \""FIFA World Cup Timeline\"" (https:\/\/web.archive.org\/web\/20200305190808\/https:\/\/www.fifa.c\nom\/fifa-tournaments\/archive\/). FIFA. Archived from the original (https:\/\/www.fifa.com\/fifa-tour\nnaments\/archive\/) on 5 March 2020. Retrieved 7 March 2020.\n316. \""History\"" (https:\/\/www.uefa.com\/uefaeuro\/history\/). UEFA. Archived (https:\/\/web.archive.org\/\nweb\/20200418050335\/https:\/\/www.uefa.com\/uefaeuro\/history\/index.html) from the original\non 18 April 2020."",""score"":0.5886647614876328},{""text"":""[Page 35] nkings, Egypt has qualified for the FIFA World Cup\nthree times. Two goals from star player Mohamed Salah in their last qualifying game took Egypt through\nto the 2018 FIFA World Cup.[322] The Egyptian Youth National team Young Pharaohs won the Bronze\nMedal of the 2001 FIFA youth world cup in Argentina. Egypt was 4th place in the football tournament in\nthe 1928 and the 1964 Olympics.\nSquash and tennis are other popular sports in Egypt. The Egyptian squash team has been competitive in\ninternational championships since the 1930s. Amr Shabana, Ali Farag and Ramy Ashour are Egypt's best\nplayers and all were ranked the world's number one squash player. Egypt has won the Squash World\nChampionships five times, with the last title being in 2019.\nCuisine\nSports"",""score"":0.553088322182834}]"
"How many major types of bread do German bakeries produce?","about 600 main types of bread and 1,200 types of pastries and rolls (Brötchen).","German bakeries produce about 600 main types of bread and 1,200 types of pastries and rolls (Brötchen).","[{""text"":""[Page 22] In 2012 over 99% of all meat produced in Germany was either pork,\nchicken, or beef. Germans produce their ubiquitous sausages in almost 1,500 varieties, including\nBratwurst and Wei\u00dfwurst.[306]\nCuisine"",""score"":0.7146458961709183},{""text"":""[Page 22] deren) in 2007. Various Germans won an Oscar for their performances in\nother films. The annual European Film Awards ceremony is held every other year in Berlin, home of the\nEuropean Film Academy. The Berlin International Film Festival, known as \""Berlinale\"", awarding the\n\""Golden Bear\"" and held annually since 1951, is one of the world's leading film festivals. The \""Lolas\"" are\nannually awarded in Berlin, at the German Film Awards.[303]\nGerman cuisine varies from region to region and neighbouring regions often share culinary similarities,\nincluding with the southern regions of Bavaria, Franconia and Swabia, Switzerland, and Austria.\nInternational varieties such as pizza, sushi, Chinese food, Greek food, Indian cuisine, and doner kebab are\npopular as well.\nBread is a significant part of German cuisine, with German bakeries producing about 600 main types of\nbread and 1,200 types of pastries and rolls (Br\u00f6tchen).[304] German cheeses account for about 22% of all\ncheese produced in Europe.[305] In 2012 over 99% of all meat produced in Germany was either pork,\nchicken, or beef. Germans produce their ubiquitous sausages in almost 1,500 varieties, including\nBratwurst and Wei\u00dfwurst."",""score"":0.7105757343948729},{""text"":""[Page 21] Brothers Grimm, who collected popular\nGerman folk tales and published them in\na collection\nRenaissance).[285] Vernacular architecture in Germany is often identified by its timber framing\n(Fachwerk) traditions and varies across regions, and among carpentry styles.[288] When industrialisation\nspread across Europe, classicism and a distinctive style of historicism developed in Germany, sometimes\nreferred to as Gr\u00fcnderzeit style. Expressionist architecture developed in the 1910s in Germany and\ninfluenced Art Deco and other modern styles. Germany was particularly important in the early modernist\nmovement: it is the home of Werkbund initiated by Hermann Muthesius (New Objectivity), and of the\nBauhaus movement founded by Walter Gropius.[285] Ludwig Mies van der Rohe became one of the\nworld's most renowned architects in the second half of the 20th century; he conceived of the glass fa\u00e7ade\nskyscraper.[289] Renowned contemporary architects and offices include Pritzker Prize winners Gottfried\nB\u00f6hm and Frei Otto.[290]\nGerman literature can be traced back to the Middle Ages and\nthe works of writers such as Walther von der Vogelweide and\nWolfram von Eschenbach."",""score"":0.6584796514603235}]"
"What are some iconic landmarks of ancient Egypt that many people are fascinated by?","the majestic pyramids and the enigmatic sphinx.","Many people are fascinated by the ancient wonders of Egypt, like the majestic pyramids and the enigmatic sphinx. However, what they don’t realize is that Egypt’s wonders extend far beyond these iconic landmarks, revealing a tapestry of incredible history, culture and innovation that shaped the world. In this video, I'll uncover the hidden gems and untold stories that make Egypt’s wonders extraordinary. First, we’ll uncover some intriguing fun facts that will surprise you, and then we’ll journey through the most breathtaking and must-see places in Egypt.","[{""text"":""[00:12:30] ] Here, you'll find impressive statues and towering obelisks that stand as a testament to the grandeur of ancient Egyptian architecture. Connecting these two monumental temples is the avenue of Sphinxes, a 2.7 kilometer long road lined with Sphinx statues. This historic pathway was used for grand processions and religious festivals in ancient times. Crossing to the West Bank of the Nile, we arrive at the Valley of the Kings, one of Luxor's most famous attractions.\n["",""score"":0.7362730600977159},{""text"":""[00:00:00] ] Many people are fascinated by the ancient wonders of Egypt, like the majestic pyramids and the enigmatic sphinx. However, what they don't realize is that Egypt's wonders extend far beyond these iconic landmarks, revealing a tapestry of incredible history, culture and innovation that shaped the world. In this video, I'll uncover the hidden gems and untold stories that make Egypt's wonders extraordinary. First, we'll uncover some intriguing fun facts that will surprise you, and then we'll journey through the most breathtaking and must-see places in Egypt.\n["",""score"":0.7229406434553413},{""text"":""[Page 1] d tourism.[21]\nWith over 107 million inhabitants, Egypt is the third-\nmost populous country in Africa and 15th-most\npopulated in the world.\nEgypt has one of the longest histories of any country,\ntracing its heritage along the Nile Delta back to the\n6th\u20134th millennia BCE. Considered a cradle of\ncivilisation, Ancient Egypt saw some of the earliest\ndevelopments of writing, agriculture, urbanisation,\norganised religion and central government.[22] Egypt\nwas an early and important centre of Christianity, later\nadopting Islam from the seventh century onwards.\nCairo became the capital of the Fatimid Caliphate in\nthe tenth century and of the subsequent Mamluk\nSultanate in the 13th century. Egypt then became part\nof the Ottoman Empire in 1517, until its local ruler\nMuhammad Ali established modern Egypt as an\nautonomous Khedivate in 1867. The country was then\noccupied by the British Empire along with Sudan and\ngained independence in 1922 as a monarchy.\nFollowing the 1952 revolution, Egypt declared itself a\nrepublic. Between 1958 and 1961 Egypt merged with\nSyria to form the United Arab Republic. Egypt fought\nseveral armed conflicts with Israel in 1948, 1956, 1967"",""score"":0.7151019613838676}]"
"How long is Egypt's history estimated to date back?","over 5,000 years","Egypt is home to one of the world’s oldest civilizations, dating back over 5,000 years. With a history that dates back over 5,000 years, Egypt has seen the rise and fall of numerous empires, making it a cornerstone of human history.","[{""text"":""[00:00:38] ] But before we get started, if you love exploring historical mysteries and uncovering hidden gems from ancient civilizations, subscribe to my channel. Fun facts about Egypt Did you know that Egypt is home to one of the world's oldest civilizations? With a history that dates back over 5,000 years, Egypt has seen the rise and fall of numerous empires, making it a cornerstone of human history.\n["",""score"":0.7465365911276468},{""text"":""[Page 3] c era, several predynastic cultures\ndeveloped independently in Upper and Lower Egypt. The Badarian\nculture and the successor Naqada series are generally regarded as\nprecursors to dynastic Egypt. The earliest known Lower Egyptian site, Merimda, predates the Badarian\nby about seven hundred years. Contemporaneous Lower Egyptian communities coexisted with their\nsouthern counterparts for more than two thousand years, remaining culturally distinct, but maintaining\nfrequent contact through trade. The earliest known evidence of Egyptian hieroglyphic inscriptions\nappeared during the predynastic period on Naqada III pottery vessels, dated to about 3200 BCE.[44]\nHistory\nPrehistory and Ancient Egypt"",""score"":0.7421678072679195},{""text"":""[Page 33] istoric age to modern times, encompassing periods such as ancient Egypt, Ptolemaic, Roman,\nMedieval, Ottoman, and the Alawiyya dynasty.\nNotable museums in Egypt include the Egyptian Museum, with over 120,000 items; the National\nMuseum of Egyptian Civilization, home to 50,000 artifacts from various eras, with the remains of 22\nancient Egyptian kings and queens relocated there in 2021 during the Pharaohs' Golden Parade; and the\nAbdeen Palace Museum.\nMusic\nDances\nMuseums"",""score"":0.7249553660436725}]"
